timestamp,asn_count,total_signals,malware_asns,vpn_asns,tor_asns,top_signal_asn
2026-05-20T12:57:03+00:00,6994,62152,0,295,1095,212238
2026-05-21T07:01:04+00:00,6996,62170,0,295,1097,212238
2026-05-22T06:57:07+00:00,7000,62205,0,295,1101,212238
2026-05-23T06:19:44+00:00,7004,62210,0,295,1103,212238
2026-05-24T06:46:45+00:00,7000,62202,0,295,1099,212238
2026-05-25T07:57:54+00:00,6993,62192,0,295,1091,212238
2026-05-26T06:55:37+00:00,6994,62217,0,295,1091,212238
2026-05-27T07:14:12+00:00,6993,62203,0,295,1092,212238
2026-05-28T07:02:57+00:00,6990,62196,0,295,1089,212238
2026-05-29T07:02:37+00:00,6990,62205,0,295,1090,212238
2026-05-30T06:30:20+00:00,6988,62171,0,295,1089,212238
2026-05-31T07:06:29+00:00,6986,62183,0,295,1087,212238
2026-06-01T08:44:29+00:00,6989,62238,0,295,1091,212238
2026-06-02T08:05:29+00:00,6993,62254,0,295,1096,212238
2026-06-03T08:28:14+00:00,6993,62261,0,295,1094,212238
2026-06-04T08:00:14+00:00,6999,62192,0,295,1098,212238
2026-06-05T07:17:33+00:00,6998,62180,0,295,1098,212238
2026-06-06T06:37:38+00:00,6997,62116,0,295,1093,212238
2026-06-07T07:13:22+00:00,6996,62101,0,295,1095,212238
2026-06-08T08:21:54+00:00,6999,62167,0,295,1097,212238
2026-06-09T06:57:42+00:00,6997,62153,0,295,1097,212238
2026-06-10T07:17:02+00:00,6996,62161,0,295,1096,212238
2026-06-11T08:15:04+00:00,6996,62152,0,295,1095,212238
2026-06-12T08:01:30+00:00,6999,62158,0,295,1097,212238
2026-06-13T07:06:05+00:00,7004,62183,0,295,1102,212238
2026-06-14T07:56:32+00:00,7000,62171,0,295,1098,212238
2026-06-15T09:33:56+00:00,7004,62175,0,295,1102,212238
2026-06-16T09:03:44+00:00,7011,62185,0,295,1103,212238
2026-06-17T08:36:15+00:00,7010,62222,0,295,1101,212238
2026-06-18T08:18:56+00:00,7010,62202,0,295,1101,212238
2026-06-19T08:40:20+00:00,7013,62225,0,295,1104,212238
2026-06-20T07:08:28+00:00,7007,62214,0,295,1098,212238
2026-06-21T08:09:57+00:00,7003,62161,0,295,1093,212238
2026-06-22T09:21:18+00:00,7003,62137,0,295,1091,212238
2026-06-23T06:58:40+00:00,7000,62133,0,295,1088,212238
2026-06-24T06:56:20+00:00,7005,62110,0,295,1092,212238
2026-06-25T06:55:55+00:00,7006,62104,0,295,1092,212238
2026-06-26T07:02:30+00:00,6998,62090,0,295,1086,212238
2026-06-27T06:36:00+00:00,6997,62107,0,295,1086,212238
2026-06-28T07:09:53+00:00,6995,62088,0,295,1083,212238
2026-06-29T08:24:49+00:00,6998,62066,0,295,1086,212238
2026-06-30T07:02:47+00:00,7002,62072,0,295,1092,212238
2026-07-01T07:19:45+00:00,7006,62127,0,295,1097,212238
2026-07-02T06:50:13+00:00,7000,62209,0,295,1096,212238
2026-07-03T06:42:16+00:00,6998,62316,0,295,1091,212238
2026-07-04T06:28:11+00:00,7001,62453,0,295,1093,212238
2026-07-05T06:50:00+00:00,7004,62462,0,295,1095,212238
2026-07-06T07:54:23+00:00,7010,62488,0,295,1100,212238
2026-07-07T06:55:22+00:00,7010,62479,0,295,1099,212238
2026-07-08T06:06:31+00:00,7009,62455,0,295,1096,212238
2026-07-09T06:54:15+00:00,7012,62524,0,295,1098,212238
2026-07-10T06:54:31+00:00,7009,62526,0,295,1095,212238
2026-07-11T05:48:44+00:00,7007,62538,0,295,1093,212238
2026-07-12T06:17:04+00:00,7004,62526,0,295,1090,212238
2026-07-13T06:29:38+00:00,7000,62526,0,295,1085,212238
2026-07-14T05:39:45+00:00,7001,62524,0,295,1085,212238
2026-07-16T05:48:58+00:00,6994,62611,0,295,1081,212238
2026-07-17T05:50:04+00:00,6995,62616,0,295,1081,212238
2026-07-18T05:36:13+00:00,7000,62599,0,295,1087,212238
2026-07-19T06:06:55+00:00,6996,62609,0,295,1083,212238
2026-07-20T06:25:30+00:00,7002,62593,0,295,1091,212238
2026-07-21T06:05:22+00:00,7001,62586,0,295,1089,212238
2026-07-22T06:04:09+00:00,7000,62542,0,295,1088,212238
2026-07-23T06:09:32+00:00,6998,62476,0,295,1086,212238
2026-07-24T06:03:41+00:00,6999,62452,0,295,1087,212238
2026-07-25T05:51:40+00:00,6997,62434,0,295,1086,212238
2026-07-26T06:16:40+00:00,6996,62393,0,295,1085,212238
2026-07-27T06:41:24+00:00,6997,62367,0,295,1086,212238
2026-07-28T06:03:01+00:00,6992,62359,0,295,1082,212238
2026-07-29T06:06:57+00:00,6991,62347,0,295,1078,212238
2026-07-30T05:58:14+00:00,6990,62355,0,295,1078,212238
2026-07-31T06:22:49+00:00,6986,62357,0,295,1072,212238
2026-08-01T06:07:48+00:00,6993,62426,0,295,1077,212238
2026-08-02T06:11:04+00:00,6994,62462,0,295,1077,212238
2026-08-03T06:33:49+00:00,6990,62490,0,295,1073,212238
2026-08-04T06:03:33+00:00,6987,62615,0,295,1071,212238
2026-08-05T06:02:54+00:00,6985,62586,0,295,1071,212238
2026-08-06T06:03:51+00:00,6990,62605,0,295,1069,212238
2026-08-07T05:01:59+00:00,6995,62649,0,295,1073,212238
2026-08-08T04:21:27+00:00,6995,62677,0,295,1075,212238
