asn,org,country,vpn_signals,tor_signals,public_feed_overlap,confidence,sources
44133,IPAX GmbH,AT,0,7,1,low,tor-radar-network
47066,"prgmr.com, Inc.",US,0,7,1,low,tor-radar-network
48014,Albanian Hosting SH.P.K.,AL,0,7,1,low,tor-radar-network
48894,OPTIMUS-AS,SI,7,0,1,low,asn-vpn-multi-provider
49581,Ferdinand Zink trading as Tube-Hosting,NL,0,5,3,medium,"bad-cidrs-v4,spamhaus-asndrop,tor-radar-network"
50266,Odido Netherlands B.V.,NL,0,7,1,low,tor-radar-network
54290,HostPapa,US,0,3,2,low,"bad-cidrs-v4,tor-radar-network"
62904,AS62904 - Eonix Corporation,US,5,0,2,low,"asn-vpn-multi-provider,bad-cidrs-v4"
202759,FAIRYHOSTING,EE,5,2,2,low,"asn-vpn-multi-provider,tor-radar-network"
207083,HOSTSLIM OU,NL,0,7,1,low,tor-radar-network
208226,Ouiheberg SARL,FR,0,7,1,low,tor-radar-network
214036,"Ultahost, Inc.",DE,0,7,1,low,tor-radar-network
399629,BL Networks,US,0,7,1,low,tor-radar-network
399646,DARTNODE,US,3,4,2,low,"asn-vpn-multi-provider,tor-radar-network"
577,Bell Canada,CA,0,6,1,low,tor-radar-network
1653,Vetenskapsradet / SUNET,SE,0,6,1,low,tor-radar-network
1759,Telia Finland Oyj,FI,0,6,1,low,tor-radar-network
3352,TELEFONICA DE ESPANA S.A.U.,ES,0,6,1,low,tor-radar-network
4713,NTT Communications Corporation,JP,0,3,2,low,"bad-cidrs-v4,tor-radar-network"
5645,"TekSavvy Solutions, Inc.",CA,0,6,1,low,tor-radar-network
6697,Republican Unitary Telecommunication Enterprise Beltelecom,BY,0,6,1,low,tor-radar-network
14956,ROUTERHOSTING,US,3,3,2,low,"asn-vpn-multi-provider,tor-radar-network"
18747,IFX18747,US,6,0,1,low,asn-vpn-multi-provider
19148,LEASEWEB-USA-PHX,US,4,2,2,low,"asn-vpn-multi-provider,tor-radar-network"
20766,"Association ""Gitoyen""",FR,0,6,1,low,tor-radar-network
28099,iHosting Servicios Internet Ltda.,CL,6,0,1,low,asn-vpn-multi-provider
44486,"Oliver Horscht is trading as ""SYNLINQ""",DE,0,6,1,low,tor-radar-network
47810,PROSERVICE,GE,6,0,1,low,asn-vpn-multi-provider
51290,BARTOSZ WASZAK trading as HOSTEAM S.C. TOMASZ GROSZEWSKI BARTOSZ WASZAK LUKASZ GROSZEWSKI,PL,0,6,1,low,tor-radar-network
52173,MAKONIX,LV,2,4,2,low,"asn-vpn-multi-provider,tor-radar-network"
54643,IDIGITAL,CA,6,0,1,low,asn-vpn-multi-provider
200462,"Lennart Seitz trading as ""ETH-Services""",DE,0,6,1,low,tor-radar-network
202053,UpCloud Ltd,FI,0,4,2,low,"bad-cidrs-v4,tor-radar-network"
202448,MVPS LTD,ES,0,6,1,low,tor-radar-network
208208,Marco Lingl trading as Cyberse GmbH & Co. KG,DE,0,6,1,low,tor-radar-network
213934,IPV1-SIA-AS,LV,1,5,2,low,"asn-vpn-multi-provider,tor-radar-network"
215296,Raoul Brouns,NL,0,6,1,low,tor-radar-network
329184,Host-Africa-AS2,ZA,2,4,2,low,"asn-vpn-multi-provider,tor-radar-network"
398101,"GoDaddy.com, LLC",US,0,6,1,low,tor-radar-network
399820,SPARKED HOST LLC,US,0,6,1,low,tor-radar-network
400226,StormyCloud Inc,US,0,6,1,low,tor-radar-network
